Calendar_Year,Month,Policing_District,Incident_Count
2012,Jun,Causeway Coast & Glens,457
2012,Jun,Mid & East Antrim,335
2012,Jun,Antrim & Newtownabbey,322
2012,Jun,No Policing District Assigned,0
2012,Jul,Northern Ireland,6375
2012,Jul,Belfast City,1806
2012,Jul,Lisburn & Castlereagh City,306
2012,Jul,Ards & North Down,502
2012,Jul,Newry Mourne & Down,452
2012,Jul,Armagh City Banbridge & Craigavon,553
2012,Jul,Mid Ulster,327
2012,Jul,Fermanagh & Omagh,296
2012,Jul,Derry City & Strabane,658
2012,Jul,Causeway Coast & Glens,615
2012,Jul,Mid & East Antrim,390
2012,Jul,Antrim & Newtownabbey,470
2012,Jul,No Policing District Assigned,0
2012,Aug,Northern Ireland,6844
2012,Aug,Belfast City,1971
2012,Aug,Lisburn & Castlereagh City,332
2012,Aug,Ards & North Down,532
2012,Aug,Newry Mourne & Down,441
2012,Aug,Armagh City Banbridge & Craigavon,544
2012,Aug,Mid Ulster,376
2012,Aug,Fermanagh & Omagh,328
2012,Aug,Derry City & Strabane,724
2012,Aug,Causeway Coast & Glens,626
2012,Aug,Mid & East Antrim,443
2012,Aug,Antrim & Newtownabbey,527
2012,Aug,No Policing District Assigned,0
2012,Sep,Northern Ireland,5985
2012,Sep,Belfast City,1784
2012,Sep,Lisburn & Castlereagh City,315
2012,Sep,Ards & North Down,471
2012,Sep,Newry Mourne & Down,361
2012,Sep,Armagh City Banbridge & Craigavon,455
2012,Sep,Mid Ulster,357
2012,Sep,Fermanagh & Omagh,295
2012,Sep,Derry City & Strabane,593
2012,Sep,Causeway Coast & Glens,490
2012,Sep,Mid & East Antrim,450
2012,Sep,Antrim & Newtownabbey,414
2012,Sep,No Policing District Assigned,0
2012,Oct,Northern Ireland,6379
2012,Oct,Belfast City,1736
2012,Oct,Lisburn & Castlereagh City,297
2012,Oct,Ards & North Down,471
2012,Oct,Newry Mourne & Down,470
